,feature,importance
0,fixed acidity,0.05855661842907758
1,volatile acidity,0.10625447215565745
2,citric acid,0.027800195101794517
3,residual sugar,0.028676566141575932
4,chlorides,0.04740860959318111
5,free sulfur dioxide,0.06007180668660776
6,total sulfur dioxide,0.072370053956737
7,density,0.042316219610849935
8,pH,0.05297645204491766
9,sulphates,0.13969683955691042
10,alcohol,0.36387216672269074
